region;subregion;country_territory;count;year;count_per_1000;match_definition;child_definition
Europe;Western Europe;Luxembourg;;2003;;;18
Europe;Western Europe;Luxembourg;;2004;;;18
Europe;Western Europe;Luxembourg;;2005;;;18
Europe;Western Europe;Luxembourg;61;2006;13;;18
Europe;Western Europe;Luxembourg;80;2007;16,8;;18
Europe;Western Europe;Luxembourg;91;2008;18,9;;18
Asia;Southern Asia;Maldives;;2003;;1;18
Asia;Southern Asia;Maldives;;2004;;1;18
Asia;Southern Asia;Maldives;;2005;;1;18
Asia;Southern Asia;Maldives;;2006;;1;18
Asia;Southern Asia;Maldives;148;2007;49,2;1;18
Asia;Southern Asia;Maldives;184;2008;60,3;1;18
Europe;Southern Europe;Malta;;2003;;;
Europe;Southern Europe;Malta;;2004;;;
Europe;Southern Europe;Malta;;2005;;;
Europe;Southern Europe;Malta;;2006;;;
Europe;Southern Europe;Malta;25;2007;6,2;;
Europe;Southern Europe;Malta;39;2008;9,6;;
Americas;Central America;Mexico;;2003;;;18
Americas;Central America;Mexico;;2004;;;18
Americas;Central America;Mexico;;2005;;;18
Americas;Central America;Mexico;;2006;;;18
Americas;Central America;Mexico;5;2007;0;;18
Americas;Central America;Mexico;24;2008;0;;18
Asia;Eastern Asia;Mongolia;5;2003;0,2;1;18
Asia;Eastern Asia;Mongolia;9;2004;0,4;1;18
Asia;Eastern Asia;Mongolia;9;2005;0,4;1;18
Asia;Western Africa;Mongolia;9;2006;0,3;1;18
Asia;Eastern Asia;Mongolia;4;2007;0,2;1;18
Asia;Eastern Asia;Mongolia;14;2008;0,5;1;18
Europe;Southern Europe;Montenegro;;2003;;1;14
Europe;Southern Europe;Montenegro;;2004;;1;14
Europe;Southern Europe;Montenegro;;2005;;1;14
Europe;Southern Europe;Montenegro;;2006;;1;14
Europe;Southern Europe;Montenegro;6;2007;1;1;14
Europe;Southern Europe;Montenegro;10;2008;1,6;1;14
Africa;Northern Africa;Morocco;395;2003;1,3;1;18
Africa;Northern Africa;Morocco;475;2004;1,6;1;18
Africa;Northern Africa;Morocco;1993;2005;6,5;1;18
Africa;Northern Africa;Morocco;1554;2006;5;1;18
Africa;Northern Africa;Morocco;1356;2007;4,3;1;18
Africa;Northern Africa;Morocco;1945;2008;6,2;1;18
Oceania;Australia and New Zealand;New Zealand;;2003;;1;16
Oceania;Australia and New Zealand;New Zealand;;2004;;1;16
Oceania;Australia and New Zealand;New Zealand;;2005;;1;16
Oceania;Australia and New Zealand;New Zealand;;2006;;1;16
Oceania;Australia and New Zealand;New Zealand;1507;2007;35,9;1;16
Oceania;Australia and New Zealand;New Zealand;1414;2008;33,4;1;16
Europe;Northern Europe;Norway;1096;2003;24;0;16
Europe;Northern Europe;Norway;1013;2004;22;0;16
Europe;Northern Europe;Norway;950;2005;20,5;0;16
Europe;Northern Europe;Norway;1107;2006;23,7;0;16
Europe;Northern Europe;Norway;1087;2007;23;0;16
Europe;Northern Europe;Norway;1150;2008;24,1;0;16
Asia;South-Eastern Asia;Philippines;7316;2003;8,9;0;18
Asia;South-Eastern Asia;Philippines;7562;2004;9;0;18
Asia;South-Eastern Asia;Philippines;6320;2005;7,4;0;18
Asia;South-Eastern Asia;Philippines;6114;2006;7;0;18
Asia;South-Eastern Asia;Philippines;8688;2007;9,8;0;18
Asia;South-Eastern Asia;Philippines;8588;2008;9,5;0;18
Europe;Eastern Europe;Poland;;2003;;1;15
Europe;Eastern Europe;Poland;;2004;;1;15
Europe;Eastern Europe;Poland;;2005;;1;15
Europe;Eastern Europe;Poland;;2006;;1;15
Europe;Eastern Europe;Poland;1882;2007;4,9;1;15
Europe;Eastern Europe;Poland;1683;2008;4,4;1;15
Europe;Southern Europe;Portugal;716;2003;6,9;1;16
Europe;Southern Europe;Portugal;650;2004;6,2;1;16
Europe;Southern Europe;Portugal;530;2005;5;1;16
Europe;Southern Europe;Portugal;609;2006;5,7;1;16
Europe;Southern Europe;Portugal;647;2007;6,1;1;16
Europe;Southern Europe;Portugal;598;2008;5,6;1;16
Europe;Eastern Europe;Republic of Moldova;;2003;;0;14
Europe;Eastern Europe;Republic of Moldova;;2004;;0;14
Europe;Eastern Europe;Republic of Moldova;;2005;;0;14
Europe;Eastern Europe;Republic of Moldova;;2006;;0;14
Europe;Eastern Europe;Republic of Moldova;;2007;;0;14
Europe;Eastern Europe;Republic of Moldova;67;2008;1,8;0;14
Europe;Eastern Europe;Romania;;2003;;1;18
Europe;Eastern Europe;Romania;;2004;;1;18
Europe;Eastern Europe;Romania;;2005;;1;18
Europe;Eastern Europe;Romania;;2006;;1;18
Europe;Eastern Europe;Romania;588;2007;2,7;1;18
Europe;Eastern Europe;Romania;623;2008;2,9;1;18
Europe;Eastern Europe;Russian Federation;203;2003;0,1;1;16
Europe;Eastern Europe;Russian Federation;751;2004;0,5;1;16
Europe;Eastern Europe;Russian Federation;1632;2005;1,1;1;16
Europe;Eastern Europe;Russian Federation;3081;2006;2,2;1;16
Europe;Eastern Europe;Russian Federation;3911;2007;2,8;1;16
Europe;Eastern Europe;Russian Federation;4479;2008;3,2;1;16
Africa;Western Africa;Sierra Leone;;2003;;;
Africa;Western Africa;Sierra Leone;;2004;;;
Africa;Western Africa;Sierra Leone;;2005;;;
Africa;Western Africa;Sierra Leone;;2006;;;
Africa;Western Africa;Sierra Leone;695;2007;12,8;;
Africa;Western Africa;Sierra Leone;623;2008;11,2;;
Europe;Southern Europe;Slovenia;196;2003;9,8;1;15
Europe;Southern Europe;Slovenia;218;2004;10,9;1;15
Europe;Southern Europe;Slovenia;188;2005;9,4;1;15
Europe;Southern Europe;Slovenia;173;2006;8,6;1;15
Europe;Southern Europe;Slovenia;203;2007;10,1;1;15
Europe;Southern Europe;Slovenia;159;2008;7,9;1;15
Europe;Southern Europe;Spain;;2003;;1;18
Europe;Southern Europe;Spain;;2004;;1;18
Europe;Southern Europe;Spain;;2005;;1;18
Europe;Southern Europe;Spain;;2006;;1;18
Europe;Southern Europe;Spain;1499;2007;3,4;1;18
Europe;Southern Europe;Spain;2210;2008;5;1;18
Europe;Northern Europe;Sweden;466;2003;5,2;1;
Europe;Northern Europe;Sweden;479;2004;5,3;1;
Europe;Northern Europe;Sweden;733;2005;8,1;1;
Europe;Northern Europe;Sweden;1134;2006;12,4;1;
Europe;Northern Europe;Sweden;1214;2007;13,3;1;
Europe;Northern Europe;Sweden;1421;2008;15,4;1;
Asia;Western Asia;Syrian Arab Republic;;2003;;1;
Asia;Western Asia;Syrian Arab Republic;;2004;;1;
Asia;Western Asia;Syrian Arab Republic;;2005;;1;
Asia;Western Asia;Syrian Arab Republic;;2006;;1;
Asia;Western Asia;Syrian Arab Republic;;2007;;1;
Asia;Western Asia;Syrian Arab Republic;17;2008;0,1;1;
Africa;Eastern Africa;Uganda;;2003;;;18
Africa;Eastern Africa;Uganda;;2004;;;18
Africa;Eastern Africa;Uganda;;2005;;;18
Africa;Eastern Africa;Uganda;;2006;;;18
Africa;Eastern Africa;Uganda;12230;2007;39,9;;18
Africa;Eastern Africa;Uganda;8635;2008;27,3;;18
Europe;Eastern Europe;Ukraine;375;2003;0,8;1;18
Europe;Eastern Europe;Ukraine;320;2004;0,7;1;18
Europe;Eastern Europe;Ukraine;345;2005;0,7;1;18
Europe;Eastern Europe;Ukraine;350;2006;0,8;1;18
Europe;Eastern Europe;Ukraine;369;2007;0,8;1;18
Europe;Eastern Europe;Ukraine;437;2008;1;1;18
Europe;Northern Europe;United Kingdom (England and Wales);4110;2003;7,8;1;
Europe;Northern Europe;United Kingdom (England and Wales);15396;2004;29,2;1;
Europe;Northern Europe;United Kingdom (England and Wales);17090;2005;32,2;1;
Europe;Northern Europe;United Kingdom (England and Wales);16276;2006;30,3;1;
Europe;Northern Europe;United Kingdom (England and Wales);15152;2007;28;1;
Europe;Northern Europe;United Kingdom (England and Wales);15025;2008;27,6;1;
Europe;Northern Europe;United Kingdom (Northern Ireland);987;2003;58;1;18
Europe;Northern Europe;United Kingdom (Northern Ireland);971;2004;56,8;1;18
Europe;Northern Europe;United Kingdom (Northern Ireland);876;2005;50,8;1;18
Europe;Northern Europe;United Kingdom (Northern Ireland);896;2006;51,4;1;18
Europe;Northern Europe;United Kingdom (Northern Ireland);892;2007;50,7;1;18
Europe;Northern Europe;United Kingdom (Northern Ireland);1060;2008;59,7;1;18
